header,class,gene,mechanism,group
ACN58946.1|FEATURES|NCBI|macrolide-lincosamide-streptogramin|macB|antibiotic_target_protection|0,macrolide-lincosamide-streptogramin,macB,antibiotic_target_protection,0
ACN58871.1|FEATURES|NCBI|macrolide-lincosamide-streptogramin|macB|antibiotic_efflux|0,macrolide-lincosamide-streptogramin,macB,antibiotic_efflux,0
ACN58991.1|FEATURES|NCBI|multidrug|cmeB|antibiotic_efflux|0,multidrug,cmeB,antibiotic_efflux,0
ACN58776.1|FEATURES|NCBI|macrolide-lincosamide-streptogramin|macA|antibiotic_efflux|0,macrolide-lincosamide-streptogramin,macA,antibiotic_efflux,0
ACN58740.1|FEATURES|NCBI|pleuromutilin|TaeA|antibiotic_efflux|0,pleuromutilin,TaeA,antibiotic_efflux,0
ACT97463.1|FEATURES|NCBI|multidrug|MexB|antibiotic_efflux|0,multidrug,MexB,antibiotic_efflux,0
ADI87846.1|FEATURES|NCBI|macrolide-lincosamide-streptogramin|macB|antibiotic_efflux|0,macrolide-lincosamide-streptogramin,macB,antibiotic_efflux,0
AET35489.1|FEATURES|NCBI|multidrug|MexB|antibiotic_efflux|0,multidrug,MexB,antibiotic_efflux,0
AIA15373.1|FEATURES|NCBI|tetracycline|tcr3|antibiotic_efflux|0,tetracycline,tcr3,antibiotic_efflux,0
AIA11224.1|FEATURES|NCBI|macrolide-lincosamide-streptogramin|macB|antibiotic_efflux|0,macrolide-lincosamide-streptogramin,macB,antibiotic_efflux,0
AIA19084.1|FEATURES|NCBI|multidrug|salA|antibiotic_efflux|0,multidrug,salA,antibiotic_efflux,0
AIA18737.1|FEATURES|NCBI|tetracycline|tet(30)|antibiotic_efflux|0,tetracycline,tet(30),antibiotic_efflux,0
AIA17432.1|FEATURES|NCBI|elfamycin|facT|antibiotic_efflux|0,elfamycin,facT,antibiotic_efflux,0
AIA16964.1|FEATURES|NCBI|tetracycline|tetZ|antibiotic_efflux|0,tetracycline,tetZ,antibiotic_efflux,0
AIA15464.1|FEATURES|NCBI|multidrug|mexN|antibiotic_efflux|0,multidrug,mexN,antibiotic_efflux,0
AIA15197.1|FEATURES|NCBI|tetracycline|tet41|antibiotic_efflux|0,tetracycline,tet41,antibiotic_efflux,0
AIA13517.1|FEATURES|NCBI|tetracycline|tet41|antibiotic_efflux|0,tetracycline,tet41,antibiotic_efflux,0
AIA11748.1|FEATURES|NCBI|tetracycline|tet(30)|antibiotic_efflux|0,tetracycline,tet(30),antibiotic_efflux,0
AMJ38548.1|FEATURES|NCBI|multidrug|mdtG|antibiotic_efflux|0,multidrug,mdtG,antibiotic_efflux,0
AMJ38429.1|FEATURES|NCBI|multidrug|mdtG|antibiotic_efflux|0,multidrug,mdtG,antibiotic_efflux,0
AMJ38206.1|FEATURES|NCBI|macrolide-lincosamide-streptogramin|macB|antibiotic_efflux|0,macrolide-lincosamide-streptogramin,macB,antibiotic_efflux,0
AMJ37632.1|FEATURES|NCBI|multidrug|acrB|antibiotic_efflux|0,multidrug,acrB,antibiotic_efflux,0
AMJ36754.1|FEATURES|NCBI|macrolide-lincosamide-streptogramin|tlrC|antibiotic_target_protection|0,macrolide-lincosamide-streptogramin,tlrC,antibiotic_target_protection,0
AMJ36428.1|FEATURES|NCBI|macrolide-lincosamide-streptogramin|macB|antibiotic_efflux|0,macrolide-lincosamide-streptogramin,macB,antibiotic_efflux,0
AMJ35756.1|FEATURES|NCBI|multidrug|mdtG|antibiotic_efflux|0,multidrug,mdtG,antibiotic_efflux,0
AMJ34484.1|FEATURES|NCBI|macrolide-lincosamide-streptogramin|macB|antibiotic_efflux|0,macrolide-lincosamide-streptogramin,macB,antibiotic_efflux,0
AMJ33780.1|FEATURES|NCBI|macrolide-lincosamide-streptogramin|tlrC|antibiotic_efflux|0,macrolide-lincosamide-streptogramin,tlrC,antibiotic_efflux,0
AMJ33545.1|FEATURES|NCBI|pleuromutilin|TaeA|antibiotic_efflux|0,pleuromutilin,TaeA,antibiotic_efflux,0
AMJ32925.1|FEATURES|NCBI|quinolone|oqxB|antibiotic_efflux|0,quinolone,oqxB,antibiotic_efflux,0
CAH19071|FEATURES|argannot|aminoglycoside|AAC(6')-IIa|antibiotic_inactivation|1,aminoglycoside,AAC(6')-IIa,antibiotic_inactivation,1
AAA03550|FEATURES|argannot|aminoglycoside|AAC(2')-Ia|antibiotic_inactivation|1,aminoglycoside,AAC(2')-Ia,antibiotic_inactivation,1
AAC44793|FEATURES|argannot|aminoglycoside|AAC(2')-Ib|antibiotic_inactivation|1,aminoglycoside,AAC(2')-Ib,antibiotic_inactivation,1
AAB17563|FEATURES|argannot|aminoglycoside|AAC(2')-Ic|antibiotic_inactivation|1,aminoglycoside,AAC(2')-Ic,antibiotic_inactivation,1
