header,class,gene,mechanism,group
gb|WP_071593223.1|ARO:3005204|CMY-143_[Escherichia_coli]_,cephamycin,CMY-143,antibiotic_inactivation,CMY_beta-lactamase
gb|WP_094009802.1|ARO:3005200|CMY-155_[Klebsiella_sp._KF07]_,cephamycin,CMY-155,antibiotic_inactivation,CMY_beta-lactamase
gb|WP_168247875.1|ARO:3005199|CMY-171_[Escherichia_coli]_,cephamycin,CMY-171,antibiotic_inactivation,CMY_beta-lactamase
gb|WP_096807446.1|ARO:3005198|CMY-157_[Citrobacter_sp.]_,cephamycin,CMY-157,antibiotic_inactivation,CMY_beta-lactamase
gb|WP_075985684.1|ARO:3005197|CMY-145_[Escherichia_coli]_,cephamycin,CMY-145,antibiotic_inactivation,CMY_beta-lactamase
gb|WP_065644637.1|ARO:3005196|CMY-141_[Escherichia_coli]_,cephamycin,CMY-141,antibiotic_inactivation,CMY_beta-lactamase
gb|WP_070064537.1|ARO:3005195|CMY-142_[Escherichia_coli]_,cephamycin,CMY-142,antibiotic_inactivation,CMY_beta-lactamase
gb|WP_088245213.1|ARO:3005194|CMY-154_[Escherichia_coli]_,cephamycin,CMY-154,antibiotic_inactivation,CMY_beta-lactamase
gb|WP_111672906.1|ARO:3005193|CMY-163_[Escherichia_coli]_,cephamycin,CMY-163,antibiotic_inactivation,CMY_beta-lactamase
gb|WP_085562395.1|ARO:3005192|CMY-148_[Escherichia_coli]_,cephamycin,CMY-148,antibiotic_inactivation,CMY_beta-lactamase
gb|WP_063859815.1|ARO:3005191|CMY-139_[Escherichia_coli]_,cephamycin,CMY-139,antibiotic_inactivation,CMY_beta-lactamase
gb|WP_085562396.1|ARO:3005190|CMY-149_[Proteus_mirabilis]_,cephamycin,CMY-149,antibiotic_inactivation,CMY_beta-lactamase
gb|WP_148044407.1|ARO:3005189|CMY-166_[Escherichia_coli]_,cephamycin,CMY-166,antibiotic_inactivation,CMY_beta-lactamase
gb|WP_148044406.1|ARO:3005188|CMY-165_[Escherichia_coli]_,cephamycin,CMY-165,antibiotic_inactivation,CMY_beta-lactamase
gb|WP_109545065.1|ARO:3005187|CMY-161_[Escherichia_coli]_,cephamycin,CMY-161,antibiotic_inactivation,CMY_beta-lactamase
gb|WP_140423307.1|ARO:3005186|CMY-164_[Escherichia_coli]_,cephamycin,CMY-164,antibiotic_inactivation,CMY_beta-lactamase
gb|WP_065102238.1|ARO:3005185|CMY-140_[Escherichia_coli]_,cephamycin,CMY-140,antibiotic_inactivation,CMY_beta-lactamase
gb|WP_111273851.1|ARO:3005184|CMY-162_[Escherichia_coli]_,cephamycin,CMY-162,antibiotic_inactivation,CMY_beta-lactamase
gb|WP_109791215.1|ARO:3005183|CMY-160_[Escherichia_coli]_,cephamycin,CMY-160,antibiotic_inactivation,CMY_beta-lactamase
gb|WP_104009849.1|ARO:3005182|CMY-156_[Escherichia_coli]_,cephamycin,CMY-156,antibiotic_inactivation,CMY_beta-lactamase
gb|WP_075985683.1|ARO:3005181|CMY-146_[Escherichia_coli]_,cephamycin,CMY-146,antibiotic_inactivation,CMY_beta-lactamase
gb|WP_077767289.1|ARO:3005180|CMY-147_[Escherichia_coli]_,cephamycin,CMY-147,antibiotic_inactivation,CMY_beta-lactamase
gb|WP_190259774.1|ARO:3005177|CMY-173_[Escherichia_coli]_,cephamycin,CMY-173,antibiotic_inactivation,CMY_beta-lactamase
gb|WP_122630836.1|ARO:3005176|CMY-158_[Escherichia_coli]_,cephamycin,CMY-158,antibiotic_inactivation,CMY_beta-lactamase
gb|CAC47933.1|ARO:3005166|Tet(X1)_[Bacteroides_thetaiotaomicron]_,tetracycline_antibiotic,Tet(X1),antibiotic_inactivation,tetracycline_inactivation_enzyme
gb|ASF80997.1|ARO:3005164|dfrA35_[Escherichia_coli]_,diaminopyrimidine_antibiotic,dfrA35,antibiotic_target_replacement,trimethoprim_resistant_dihydrofolate_reductase_dfr
gb|ANQ03635.1|ARO:3005162|FosA7.5_[Escherichia_coli]_,fosfomycin,FosA7.5,antibiotic_inactivation,fosfomycin_thiol_transferase
gb|QBQ03037.1|ARO:3005160|OXA-812_[Acinetobacter_radioresistens]_,carbapenem;cephalosporin;penam,OXA-812,antibiotic_inactivation,OXA_beta-lactamase
gb|QBQ03043.1|ARO:3005159|OXA-818_[Acinetobacter_radioresistens]_,carbapenem;cephalosporin;penam,OXA-818,antibiotic_inactivation,OXA_beta-lactamase
gb|KEC85091.1|ARO:3005158|OXA-668_[Acinetobacter_sp._ETR1]_,carbapenem;cephalosporin;penam,OXA-668,antibiotic_inactivation,OXA_beta-lactamase
gb|AIG19978.1|ARO:3005157|PDC-41_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-41,antibiotic_inactivation,PDC_beta-lactamase
gb|AEM44533.1|ARO:3005156|PDC-28_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-28,antibiotic_inactivation,PDC_beta-lactamase
gb|CBZ41773.1|ARO:3005155|PDC-23_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-23,antibiotic_inactivation,PDC_beta-lactamase
gb|ABY48974.1|ARO:3005154|APH(3')-XV_[Pseudomonas_aeruginosa]_,aminoglycoside_antibiotic,APH(3')-XV,antibiotic_inactivation,APH(3')
gb|AIG20006.1|ARO:3005153|PDC-69_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-69,antibiotic_inactivation,PDC_beta-lactamase
gb|AIG20009.1|ARO:3005152|PDC-72_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-72,antibiotic_inactivation,PDC_beta-lactamase
gb|AIG19990.1|ARO:3005151|PDC-53_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-53,antibiotic_inactivation,PDC_beta-lactamase
gb|APM84516.1|ARO:3005150|PAC-1_[Pseudomonas_aeruginosa]_,cephalosporin,PAC-1,antibiotic_inactivation,PAC_beta-lactamase
gb|AIG19985.1|ARO:3005148|PDC-48_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-48,antibiotic_inactivation,PDC_beta-lactamase
gb|AIG19987.1|ARO:3005147|PDC-50_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-50,antibiotic_inactivation,PDC_beta-lactamase
gb|AIG19986.1|ARO:3005146|PDC-49_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-49,antibiotic_inactivation,PDC_beta-lactamase
gb|AIG19982.1|ARO:3005145|PDC-45_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-45,antibiotic_inactivation,PDC_beta-lactamase
gb|AIG19998.1|ARO:3005144|PDC-61_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-61,antibiotic_inactivation,PDC_beta-lactamase
gb|AUT06977.1|ARO:3005143|PDC-240_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-240,antibiotic_inactivation,PDC_beta-lactamase
gb|AIG19981.1|ARO:3005142|PDC-44_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-44,antibiotic_inactivation,PDC_beta-lactamase
gb|AIG19989.1|ARO:3005141|PDC-52_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-52,antibiotic_inactivation,PDC_beta-lactamase
gb|AIG19993.1|ARO:3005140|PDC-56_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-56,antibiotic_inactivation,PDC_beta-lactamase
gb|AIG20004.1|ARO:3005139|PDC-67_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-67,antibiotic_inactivation,PDC_beta-lactamase
gb|QEJ80887|ARO:3005138|OXA-850_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;penam,OXA-850,antibiotic_inactivation,OXA_beta-lactamase
gb|AIG19996.1|ARO:3005137|PDC-59_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-59,antibiotic_inactivation,PDC_beta-lactamase
gb|QIC04089.1|ARO:3005136|OXA-906_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;penam,OXA-906,antibiotic_inactivation,OXA_beta-lactamase
gb|AIG19991.1|ARO:3005135|PDC-54_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-54,antibiotic_inactivation,PDC_beta-lactamase
gb|AIG19980.1|ARO:3005134|PDC-43_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-43,antibiotic_inactivation,PDC_beta-lactamase
gb|AIG19999.1|ARO:3005133|PDC-62_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-62,antibiotic_inactivation,PDC_beta-lactamase
gb|ACX31161.1|ARO:3005132|PDC-11_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-11,antibiotic_inactivation,PDC_beta-lactamase
gb|QFZ95817.1|ARO:3005131|NDM-29_[Klebsiella_pneumoniae]_,carbapenem;cephalosporin;cephamycin;penam,NDM-29,antibiotic_inactivation,NDM_beta-lactamase
gb|QEJ80883.1|ARO:3005130|OXA-846_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;penam,OXA-846,antibiotic_inactivation,OXA_beta-lactamase
gb|AIG19988.1|ARO:3005129|PDC-51_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-51,antibiotic_inactivation,PDC_beta-lactamase
gb|AIG19984.1|ARO:3005128|PDC-47_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-47,antibiotic_inactivation,PDC_beta-lactamase
gb|ACX31164.1|ARO:3005127|PDC-14_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-14,antibiotic_inactivation,PDC_beta-lactamase
gb|AIG20003.1|ARO:3005126|PDC-66_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-66,antibiotic_inactivation,PDC_beta-lactamase
gb|AIG19994.1|ARO:3005125|PDC-57_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-57,antibiotic_inactivation,PDC_beta-lactamase
gb|AIG20000.1|ARO:3005124|PDC-63_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-63,antibiotic_inactivation,PDC_beta-lactamase
gb|AIG20007.1|ARO:3005123|PDC-70_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-70,antibiotic_inactivation,PDC_beta-lactamase
gb|AIG20005.1|ARO:3005122|PDC-68_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-68,antibiotic_inactivation,PDC_beta-lactamase
gb|AXF35727.1|ARO:3005121|lsa(D)_[Lactococcus_garvieae]_,lincosamide_antibiotic;macrolide_antibiotic;oxazolidinone_antibiotic;phenicol_antibiotic;pleuromutilin_antibiotic;streptogramin_antibiotic;tetracycline_antibiotic,lsa(D),antibiotic_target_protection,ABC-F_ATP-binding_cassette_ribosomal_protection_protein
