header,class,group,gene,mechanism
JN129451.1.gene1.p01|FEATURES|VIM-30|beta-lactam|VIM,beta-lactam,VIM,VIM-30,NA
YP_002385298|FEATURES|mdtN|multidrug|mdtN,multidrug,mdtN,mdtN,NA
gi:585322871:ref:WP_024204537.1:|FEATURES|emrA|multidrug|emrA,multidrug,emrA,emrA,NA
JQ002629.1.gene1.p01|FEATURES|IMP-32|beta-lactam|IMP,beta-lactam,IMP,IMP-32,NA
NC_010558.1.6275948.p01|FEATURES|qepA|fluoroquinolone|qepA,fluoroquinolone,qepA,qepA,NA
gi:488349287:ref:WP_002418672.1:|FEATURES|vanB|glycopeptide|vanB,glycopeptide,vanB,vanB,NA
gi:446910356:ref:WP_000987612.1:|FEATURES|adeB|multidrug|adeB,multidrug,adeB,adeB,NA
gi:695837578:ref:WP_032750955.1:|FEATURES|emrA|multidrug|emrA,multidrug,emrA,emrA,NA
gi:651585284:ref:WP_026580461.1:|FEATURES|class_A|beta-lactam|class_A,beta-lactam,class_A,class_A,NA
Q32DT3|FEATURES|arnA|polymyxin|arnA,polymyxin,arnA,arnA,NA
AJ312056.2.gene1.p01|FEATURES|cat_chloramphenicol_acetyltransferase|phenicol|cat_chloramphenicol_acetyltransferase,phenicol,cat_chloramphenicol_acetyltransferase,cat_chloramphenicol_acetyltransferase,NA
gi:585350004:ref:WP_024231618.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
JE0138|FEATURES|aac(3)-II|aminoglycoside|aac(3)-II,aminoglycoside,aac(3)-II,aac(3)-II,NA
gi:942448824:ref:WP_055314246.1:|FEATURES|mexH|multidrug|mexH,multidrug,mexH,mexH,NA
YP_002937728|FEATURES|bacA|bacitracin|bacA,bacitracin,bacA,bacA,NA
gi:489200414:ref:WP_003109635.1:|FEATURES|tetR|tetracycline|tetR,tetracycline,tetR,tetR,NA
gi:560398734:ref:WP_023622078.1:|FEATURES|sdiA|unclassified|sdiA,unclassified,sdiA,sdiA,NA
gi:507086744:ref:WP_016157485.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
gi:724471628:gb:AIY26267.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
gi:695732140:ref:WP_032658638.1:|FEATURES|sdiA|unclassified|sdiA,unclassified,sdiA,sdiA,NA
gi:487382605:ref:WP_001654865.1:|FEATURES|mdtP|multidrug|mdtP,multidrug,mdtP,mdtP,NA
YP_106067|FEATURES|mexE|multidrug|mexE,multidrug,mexE,mexE,NA
gi:950562188:ref:WP_057431811.1:|FEATURES|mexF|multidrug|mexF,multidrug,mexF,mexF,NA
DQ519088.1.gene1.p01|FEATURES|OXA-94|beta-lactam|OXA,beta-lactam,OXA,OXA-94,NA
AAF24171|FEATURES|vatE|MLS|vatE,MLS,vatE,vatE,NA
gi:554685678:ref:WP_023185565.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:1015890335:ref:WP_062865166.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:447004719:ref:WP_001081975.1:|FEATURES|mdtE|multidrug|mdtE,multidrug,mdtE,mdtE,NA
gi:656016562:ref:WP_029056449.1:|FEATURES|norA|multidrug|norA,multidrug,norA,norA,NA
ZP_04273511|FEATURES|class_A|beta-lactam|class_A,beta-lactam,class_A,class_A,NA
gi:730303878:ref:WP_033978962.1:|FEATURES|tetR|tetracycline|tetR,tetracycline,tetR,tetR,NA
gi:966358723:ref:WP_058407068.1:|FEATURES|class_C|beta-lactam|class_C,beta-lactam,class_C,class_C,NA
gi:1031652761:gb:ANG23007.1:|FEATURES|TEM-1|beta-lactam|TEM,beta-lactam,TEM,TEM-1,NA
gi:745761480:ref:WP_039060165.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
CAI43343|FEATURES|chloramphenicol_exporter|phenicol|chloramphenicol_exporter,phenicol,chloramphenicol_exporter,chloramphenicol_exporter,NA
