header	amino_acid_length	nucleotide_length
ACN58946.1|FEATURES|NCBI|macrolide-lincosamide-streptogramin|macB|antibiotic_target_protection|0	612	1836
ACN58871.1|FEATURES|NCBI|macrolide-lincosamide-streptogramin|macB|antibiotic_efflux|0	512	1536
ACN58991.1|FEATURES|NCBI|multidrug|cmeB|antibiotic_efflux|0	274	822
ACN58776.1|FEATURES|NCBI|macrolide-lincosamide-streptogramin|macA|antibiotic_efflux|0	540	1620
ACN58740.1|FEATURES|NCBI|pleuromutilin|TaeA|antibiotic_efflux|0	470	1410
ACT97463.1|FEATURES|NCBI|multidrug|MexB|antibiotic_efflux|0	161	483
ADI87846.1|FEATURES|NCBI|macrolide-lincosamide-streptogramin|macB|antibiotic_efflux|0	913	2739
AET35489.1|FEATURES|NCBI|multidrug|MexB|antibiotic_efflux|0	141	423
AIA15373.1|FEATURES|NCBI|tetracycline|tcr3|antibiotic_efflux|0	437	1311
AIA11224.1|FEATURES|NCBI|macrolide-lincosamide-streptogramin|macB|antibiotic_efflux|0	675	2025
AIA19084.1|FEATURES|NCBI|multidrug|salA|antibiotic_efflux|0	240	720
AIA18737.1|FEATURES|NCBI|tetracycline|tet(30)|antibiotic_efflux|0	128	384
AIA17432.1|FEATURES|NCBI|elfamycin|facT|antibiotic_efflux|0	267	801
AIA16964.1|FEATURES|NCBI|tetracycline|tetZ|antibiotic_efflux|0	313	939
AIA15464.1|FEATURES|NCBI|multidrug|mexN|antibiotic_efflux|0	588	1764
AIA15197.1|FEATURES|NCBI|tetracycline|tet41|antibiotic_efflux|0	196	588
AIA13517.1|FEATURES|NCBI|tetracycline|tet41|antibiotic_efflux|0	219	657
AIA11748.1|FEATURES|NCBI|tetracycline|tet(30)|antibiotic_efflux|0	190	570
AMJ38548.1|FEATURES|NCBI|multidrug|mdtG|antibiotic_efflux|0	288	864
AMJ38429.1|FEATURES|NCBI|multidrug|mdtG|antibiotic_efflux|0	227	681
AMJ38206.1|FEATURES|NCBI|macrolide-lincosamide-streptogramin|macB|antibiotic_efflux|0	343	1029
AMJ37632.1|FEATURES|NCBI|multidrug|acrB|antibiotic_efflux|0	610	1830
AMJ36754.1|FEATURES|NCBI|macrolide-lincosamide-streptogramin|tlrC|antibiotic_target_protection|0	168	504
AMJ36428.1|FEATURES|NCBI|macrolide-lincosamide-streptogramin|macB|antibiotic_efflux|0	386	1158
AMJ35756.1|FEATURES|NCBI|multidrug|mdtG|antibiotic_efflux|0	382	1146
AMJ34484.1|FEATURES|NCBI|macrolide-lincosamide-streptogramin|macB|antibiotic_efflux|0	396	1188
AMJ33780.1|FEATURES|NCBI|macrolide-lincosamide-streptogramin|tlrC|antibiotic_efflux|0	50	150
AMJ33545.1|FEATURES|NCBI|pleuromutilin|TaeA|antibiotic_efflux|0	79	237
AMJ32925.1|FEATURES|NCBI|quinolone|oqxB|antibiotic_efflux|0	206	618
CAH19071|FEATURES|argannot|aminoglycoside|AAC(6')-IIa|antibiotic_inactivation|1	184	552
AAA03550|FEATURES|argannot|aminoglycoside|AAC(2')-Ia|antibiotic_inactivation|1	178	534
AAC44793|FEATURES|argannot|aminoglycoside|AAC(2')-Ib|antibiotic_inactivation|1	195	585
AAB17563|FEATURES|argannot|aminoglycoside|AAC(2')-Ic|antibiotic_inactivation|1	181	543
AAB41701|FEATURES|argannot|aminoglycoside|AAC(2')-Id|antibiotic_inactivation|1	210	630
WP_010908954|FEATURES|argannot|aminoglycoside|AAC(2')-Ic|antibiotic_inactivation|1	182	546
CAI46944|FEATURES|argannot|aminoglycoside|AAC(3)-Ia|antibiotic_inactivation|1	154	462
CAA39184|FEATURES|argannot|aminoglycoside|AAC(3)-IIIa|antibiotic_inactivation|1	271	813
AAA25682|FEATURES|argannot|aminoglycoside|AAC(3)-IIIb|antibiotic_inactivation|1	245	735
AAA25683|FEATURES|argannot|aminoglycoside|AAC(3)-IIIc|antibiotic_inactivation|1	279	837
CAA35913.1|FEATURES|argannot|aminoglycoside|AAC(3)-IIc|antibiotic_inactivation|1	286	858
AAA26548.1|FEATURES|argannot|aminoglycoside|AAC(3)-IIb|antibiotic_inactivation|1	269	807
CAA38525|FEATURES|argannot|aminoglycoside|AAC(3)-IIc|antibiotic_inactivation|1	286	858
ABS70977.1|FEATURES|argannot|aminoglycoside|AAC(3)-IIa|antibiotic_inactivation|1	286	858
ABS70978|FEATURES|argannot|aminoglycoside|AAC(3)-IIc|antibiotic_inactivation|1	286	858
CAA25642|FEATURES|argannot|aminoglycoside|AAC(3)-IVa|antibiotic_inactivation|1	261	783
AAA25334|FEATURES|argannot|aminoglycoside|AAC(3)-IXa|antibiotic_inactivation|1	281	843
CAA33850|FEATURES|argannot|aminoglycoside|AAC(3)-Ia|antibiotic_inactivation|1	177	531
AAA88422|FEATURES|argannot|aminoglycoside|AAC(3)-Ib|antibiotic_inactivation|1	176	528
AAL82588|FEATURES|argannot|aminoglycoside|AAC(3)-Ib/AAC(6')-Ib''|antibiotic_inactivation|1	334	1002
CAD53575|FEATURES|argannot|aminoglycoside|AAC(3)-Ic|antibiotic_inactivation|1	156	468
BAD00738|FEATURES|argannot|aminoglycoside|AAC(3)-Id|antibiotic_inactivation|1	158	474
AAX16011|FEATURES|argannot|aminoglycoside|AAC(3)-Ib|antibiotic_inactivation|1	154	462
ABD81100|FEATURES|argannot|aminoglycoside|AAC(3)-Id|antibiotic_inactivation|1	158	474
ABL71428|FEATURES|argannot|aminoglycoside|AAC(3)-Id|antibiotic_inactivation|1	152	456
ABF52347|FEATURES|argannot|aminoglycoside|AAC(3)-Ib|antibiotic_inactivation|1	152	456
AAA26685|FEATURES|argannot|aminoglycoside|AAC(3)-VIIIa|antibiotic_inactivation|1	286	858
AAA88552|FEATURES|argannot|aminoglycoside|AAC(3)-VIIa|antibiotic_inactivation|1	288	864
AAA16194|FEATURES|argannot|aminoglycoside|AAC(3)-VIa|antibiotic_inactivation|1	299	897
BAA78619|FEATURES|argannot|aminoglycoside|AAC(3)-Xa|antibiotic_inactivation|1	284	852
ABC17631|FEATURES|argannot|aminoglycoside|AAC(6')-29b|antibiotic_inactivation|1	133	399
CAG26810|FEATURES|argannot|aminoglycoside|AAC(6')-31|antibiotic_inactivation|1	172	516
ABR10839|FEATURES|argannot|aminoglycoside|AAC(6')-32|antibiotic_inactivation|1	184	552
ACT99627|FEATURES|argannot|aminoglycoside|AAC(6')-33|antibiotic_inactivation|1	184	552
AAP43642.1|FEATURES|argannot|aminoglycoside|AAC(6')-I30|antibiotic_inactivation|1	184	552
AAA25688.1|FEATURES|argannot|aminoglycoside|AAC(6')-IIa|antibiotic_inactivation|1	184	552
AAA25680|FEATURES|argannot|aminoglycoside|AAC(6')-IIb|antibiotic_inactivation|1	180	540
AAD46626.1|FEATURES|argannot|aminoglycoside|AAC(6')-IIc|antibiotic_inactivation|1	193	579
AAA98298.1|FEATURES|argannot|aminoglycoside|AAC(6')-Ia|antibiotic_inactivation|1	185	555
NP_460578|FEATURES|argannot|aminoglycoside|AAC(6')-Iaa|antibiotic_inactivation|0	145	435
BAD12078|FEATURES|argannot|aminoglycoside|AAC(6')-Iad|antibiotic_inactivation|1	144	432
BAD14386|FEATURES|argannot|aminoglycoside|AAC(6')-Iae|antibiotic_inactivation|1	183	549
